desk,instrument_id,notional,risk_limit,price_date,price,lagged_return_1d,lagged_return_5d,realized_vol_10d,realized_vol_1d_fwd,vol_scalar,var_99_1d
Rates,GILT-10Y,50000000,750000,2024-02-22,99.2,-0.006012024048096,-0.0284035259549459,0.0009733264222558,-0.0078629032258065,-0.0081109177233477,-944921.914770007
Rates,GILT-10Y,50000000,750000,2024-02-29,98.42,-0.0078629032258065,-0.0308222550467749,0.0014584528740361,-0.0057915057915058,-0.0093088847602413,-1084485.0745681114
Rates,GILT-10Y,50000000,750000,2024-03-04,97.85,-0.0057915057915058,-0.0311881188118812,0.0011376195441065,-0.0097087378640775,-0.0091940578491203,-1071107.739422515
Rates,GILT-10Y,50000000,750000,2024-03-07,96.9,-0.0097087378640775,-0.0338983050847456,0.0019596981040053,-0.0154798761609906,-0.010792170113092,-1257287.818175218
Rates,GILT-10Y,50000000,750000,2024-03-11,95.4,-0.0154798761609906,-0.0440881763527053,0.0048736581874534,-0.0136268343815514,-0.0146444940272583,-1706083.554175592
Credit,CORP-BOND-A,20000000,300000,2024-02-22,101.6,-0.003921568627451,-0.0183574879227054,1.5259060702455894e-05,-0.0039370078740156,-0.0037478816289193,-174651.28390763942
Credit,CORP-BOND-A,20000000,300000,2024-02-29,101.2,-0.0039370078740156,-0.0184287099903005,1.53789764257738e-05,-0.0024703557312253,-0.0037841530902206,-176341.53400427994
Credit,CORP-BOND-A,20000000,300000,2024-03-04,100.95,-0.0024703557312253,-0.0179961089494162,0.0008423504564073,-0.003467062902427,-0.0025695858349587,-119742.69990907543
Credit,CORP-BOND-A,20000000,300000,2024-03-07,100.6,-0.003467062902427,-0.0175781250000001,0.0007489261166716,-0.0049701789264413,-0.002707151863709,-126153.27684883939
Credit,CORP-BOND-A,20000000,300000,2024-03-11,100.1,-0.0049701789264413,-0.0186274509803922,0.0012584314955606,-0.0034965034965034,-0.0031739623859873,-147906.6471870082
