instrument_id,price_date,price,lagged_return_1d,lagged_return_5d,realized_vol_10d,realized_vol_1d_fwd
GILT-10Y,2024-02-22,99.2,-0.006012024048096087,-0.028403525954945996,0.0009733264222558006,-0.007862903225806517
CORP-BOND-A,2024-02-22,101.6,-0.0039215686274510775,-0.018357487922705418,1.5259060702455894e-05,-0.00393700787401563
GILT-10Y,2024-02-29,98.42,-0.007862903225806517,-0.030822255046774938,0.0014584528740361374,-0.005791505791505891
CORP-BOND-A,2024-02-29,101.2,-0.00393700787401563,-0.01842870999030055,1.53789764257738e-05,-0.0024703557312253377
GILT-10Y,2024-03-04,97.85,-0.005791505791505891,-0.031188118811881216,0.0011376195441065251,-0.009708737864077555
CORP-BOND-A,2024-03-04,100.95,-0.0024703557312253377,-0.01799610894941628,0.0008423504564073215,-0.0034670629024270427
GILT-10Y,2024-03-07,96.9,-0.009708737864077555,-0.03389830508474567,0.001959698104005329,-0.015479876160990669
CORP-BOND-A,2024-03-07,100.6,-0.0034670629024270427,-0.01757812500000011,0.0007489261166716936,-0.00497017892644136
GILT-10Y,2024-03-11,95.4,-0.015479876160990669,-0.044088176352705344,0.004873658187453443,-0.013626834381551434
CORP-BOND-A,2024-03-11,100.1,-0.00497017892644136,-0.0186274509803922,0.0012584314955606149,-0.0034965034965034336
